,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
0,1713795736.2517097,-0.26078144871874415,-0.030052527114719195,-2.2969632747174726,-1.2173863647431893e-10,9.685438580452439e-10,2.773536007683591e-26,9.624514853653053e-05,-0.00032298507999539917,7.820525482012529e-19
1,1713795736.2767098,-0.2657209407142617,-0.03062086218043564,-2.2969961379847814,5.999023726032574e-09,-2.424258201319784e-08,-1.0048592248008387e-06,0.0002872441681401437,-0.0009638073210574145,2.512157000862839e-09
2,1713795736.30171,-0.27084310296435554,-0.031210222863329373,-2.2970328406191305,1.782865256625447e-08,-6.408739479432099e-08,-2.1590165056922674e-06,0.0005710230644208127,-0.0019157002022173284,1.3524447476038721e-08
3,1713795736.32671,-0.27597229846553634,-0.03180040053387621,-2.2970777140140024,3.427792288519262e-08,-1.1926458810830305e-07,-3.401548955881842e-06,0.0009451455861687699,-0.0031703483976930143,3.922366648952694e-08
4,1713795736.35171,-0.28110175308747987,-0.03239061557971741,-2.2971218277511083,5.517213551668856e-08,-1.8932793261497655e-07,-4.228811869864186e-06,0.0014067392082464636,-0.004717976100088194,8.2618699178772e-08
5,1713795736.3767102,-0.2862312152883657,-0.032980838817113424,-2.297166555263909,8.035600065422089e-08,-2.737552049492109e-07,-4.808789743854341e-06,0.0019525261021310532,-0.0065474520112638185,1.4274732785871596e-07
6,1713795736.4017105,-0.2913606758138337,-0.03357106890806351,-2.297213559353687,1.0965744995006699e-07,-3.719627885333471e-07,-5.280547295950342e-06,0.002578858442158388,-0.008646408802662724,2.1575890817210611e-07
7,1713795736.4267104,-0.29649013440900757,-0.034161305503247835,-2.2972546379239054,1.4288141369828058e-07,-4.83289793690308e-07,-5.368924900193168e-06,0.003281757317324314,-0.011001374580872404,3.106834812930959e-07
8,1713795736.4517105,-0.3016195911509672,-0.034751548296986304,-2.297295153123438,1.7982902927160928e-07,-6.07063311011723e-07,-5.395477441610268e-06,0.0040569544618338,-0.0135979137060508,4.130065923841095e-07
9,1713795736.4767106,-0.2988620964235684,-0.033541781577824926,-2.2973402656808135,2.221687270107962e-07,-7.4209215248657e-07,-5.573895916261145e-06,0.00489993598408468,-0.016420774218490187,5.044874146552455e-07
10,1713795736.501711,-0.29413845483531825,-0.031883292796070294,-2.29738106504421,2.6636160472995156e-07,-8.883664603300673e-07,-5.5348382023745396e-06,0.0058059872929684415,-0.019454039097157285,6.185939633545456e-07
11,1713795736.5267107,-0.2893418917941833,-0.030208166780059196,-2.2974247745813563,3.1312095104837987e-07,-1.0448227595817768e-06,-5.6071792671169004e-06,0.006770238376728578,-0.02268127866286617,7.17792248034466e-07
12,1713795736.5517108,-0.28454262290066945,-0.028532428256856042,-2.297478585473006,3.6265568846398106e-07,-1.210586068003559e-06,-6.027960964980665e-06,0.00778770870265138,-0.026085701540923295,7.629473314796237e-07
13,1713795736.576711,-0.2797432524194094,-0.026856671124716965,-2.297539924903412,4.147204389520526e-07,-1.3847697889304064e-06,-6.6091712055399715e-06,0.008853351023151766,-0.029650301832316654,7.77938453364066e-07
14,1713795736.601711,-0.27494387705139495,-0.025180917023536684,-2.297593955936513,4.690659358111849e-07,-1.5665319794278942e-06,-6.75889438086002e-06,0.00996209344905212,-0.03335800035652402,8.751038360418488e-07
15,1713795736.6267111,-0.2701445005008441,-0.02350516635922377,-2.2976342065387283,5.254391111578346e-07,-1.7550206002860027e-06,-6.352550526061575e-06,0.011108879244767786,-0.03719177813958355,1.0911816497502574e-06
16,1713795736.6517112,-0.26534512302258884,-0.021829418751539247,-2.2976731496651928,5.835885546936603e-07,-1.949389717582862e-06,-6.0016052509341186e-06,0.012288703887069867,-0.04113480061809763,1.2904852085824492e-06
17,1713795736.676711,-0.2592205896558019,-0.02195165067006077,-2.2977165204773216,6.435782398252037e-07,-2.1492165203388855e-06,-5.904877001028515e-06,0.013496649025290991,-0.04517053135568537,1.419320528362857e-06
18,1713795736.7017114,-0.25276177852442777,-0.02252743364868717,-2.297772056978801,7.046348177171908e-07,-2.3530146165016627e-06,-6.283388767184512e-06,0.014727913076997905,-0.04928283438303607,1.4101137417717313e-06
19,1713795736.7267115,-0.24629056925310067,-0.023120039544161815,-2.2978291910462114,7.666434232502526e-07,-2.5600783665016315e-06,-6.617259201892867e-06,0.015977838288420206,-0.05345606461405308,1.4126673945082805e-06
20,1713795736.7517116,-0.23981889972298182,-0.02371327079956246,-2.2978799234496976,8.294762406857101e-07,-2.769828853310327e-06,-6.619599018377006e-06,0.017241934161612734,-0.0576751460095236,1.5207733001673098e-06
21,1713795736.7767117,-0.23334721279354276,-0.024306526313859173,-2.297931876530021,8.929096719498047e-07,-2.981510013059553e-06,-6.6631474040525484e-06,0.018515897256178644,-0.06192563753004393,1.6110332031887166e-06
22,1713795736.8017118,-0.22687552498942207,-0.024899783458078233,-2.2979848805032974,9.567338236202323e-07,-3.194417465951331e-06,-6.730817936297267e-06,0.019795627417619793,-0.06619378706485006,1.6890625092203655e-06
23,1713795736.826712,-0.22040383701872326,-0.025493041073516968,-2.2980447590320545,1.0207491865483163e-06,-3.4078822051548247e-06,-7.034763484620173e-06,0.021077240559093092,-0.070466573772362,1.6736477803469225e-06
24,1713795736.851712,-0.21393214899793164,-0.026086298814739867,-2.298101472755314,1.084767283446135e-06,-3.6212725472773745e-06,-7.135931030913015e-06,0.022357078168917143,-0.07473173942076342,1.7382650286068696e-06
25,1713795736.876712,-0.22007068721109418,-0.024808792528358853,-2.29814792378929,1.145584411063735e-06,-3.833546432960907e-06,-6.820885729282737e-06,0.023631713763417616,-0.07897780945086752,1.973629853162584e-06
26,1713795736.9017122,-0.23016421192476788,-0.022944552021727398,-2.2981876401079053,1.2081362509236762e-06,-4.044907025079099e-06,-6.331964294200054e-06,0.024897956491979956,-0.08319410457450437,2.2766007167073144e-06
