,time,pos_x,v_x,a_x,pos_y,v_y,a_y,yaw,w
0,1713795735.813,-0.456682747043348,-0.003130497272275151,-1.5712706597518108e-06,-0.027209795105460483,-0.00018651939428034606,-0.00013614165783681123,0.0,0.0
1,1713795735.836,-0.4567041136713649,-1.5497616775630736e-05,-1.2984498309106354e-06,-0.027211067983481906,-9.323794801144433e-07,-0.00013610664786101295,0.0,0.0
2,1713795735.849,-0.4567033958877141,7.205674611275479e-05,0.001327499131339544,-0.02799603142311982,-0.00187805251238341,-0.03877743404764795,-2.193178173176002e-05,-0.000743578993723596
3,1713795735.869,-0.4567044206597004,-2.8813238042711014e-05,0.0013274886619603706,-0.027989099294494786,-7.440994689896906e-06,-0.03877697955452398,-1.9327629394929993e-05,-0.00046396428401461215
4,1713795735.889,-0.4567053264642714,-7.985359603703999e-05,0.0007218329083209553,-0.029105260478416183,-0.0005371416416874162,-0.06627857339507735,-5.4826592922875735e-05,-0.000963025831500759
5,1713795735.909,-0.45670232052283805,0.00012567429811297123,0.0007218494031203189,-0.029109324966399102,-1.3273280996711637e-05,-0.06627827938645992,-4.552431356653401e-05,-0.0006769900145669199
6,1713795735.932,-0.45669467693809795,0.0004566161038713405,0.006657551419505386,-0.030557822136969733,-0.0006067010933872026,-0.08952852947347979,-5.509240909558324e-05,-0.0007537702030315557
7,1713795735.952,-0.4567322376688357,-0.0009973929518963152,0.00665742788853105,-0.03056415002466375,-0.00028096480210701045,-0.08952821262398773,-4.499890034266276e-05,-0.0005445570843143713
8,1713795735.972,-0.45673912886646034,-0.001075849381447612,0.011784891349667585,-0.03165746122843952,-0.0008348258513417348,-0.1023857966370992,-7.463426469860604e-05,-0.0008007414165710418
9,1713795735.993,-0.4566532074672747,0.0016337498622798704,0.01178507626759846,-0.031658435344345606,-0.0005788318435647156,-0.1023854666888931,-6.210290811610141e-05,-0.0005827488011015841
10,1713795736.013,-0.45662260964328943,0.002275896946237622,0.018790057550128882,-0.03287980142706976,-0.0015378385941830714,-0.11361591462884463,-5.998674234271647e-05,-0.0005372585737362537
11,1713795736.035,-0.4567345437573535,-0.0011575385275003364,0.01878979933686966,-0.03288604952628496,-0.000937412143000894,-0.11361554091847868,-4.985160286589008e-05,-0.0003917981483847855
12,1713795736.047,-0.45675125627418933,-0.0013234770039664949,0.018599090659191776,-0.034274951371865855,-0.0021164173485842437,-0.12403514839149975,-7.068246226808313e-05,-0.0005420075789637575
13,1713795736.068,-0.45668423690194576,0.0012097044773885014,0.01859924240328198,-0.034266252462334154,-0.00035323505259525533,-0.12403459074828195,-5.959032232551803e-05,-0.0003954902742817568
14,1713795736.091,-0.45666948502505916,0.0014675459221946399,0.017110610223325662,-0.035571850988318054,-0.0017525466444683648,-0.13231030561318033,-0.00010015242042407245,-0.000688378069627664
15,1713795736.113,-0.4567266915566926,-0.0012070418038592698,0.01711042690336791,-0.03557977939750139,-0.0006459917123151433,-0.13230990275135374,-8.385250437634277e-05,-0.0005023758186105048
16,1713795736.134,-0.45673675483423515,-0.0015825172915694137,0.016570097428385416,-0.03813516346227644,-0.001288573677460901,-0.14638353853795902,-0.00011639221764587237,-0.0007663160148729715
17,1713795736.1455286,-0.4566707426323712,0.0016328331157487446,0.01657027561943383,-0.038135260585113635,-0.0005342712773829254,-0.14638299286476783,-0.00010398642272146416,-0.0005592806741267834
18,1713795736.154,-0.45666467838701014,0.0018267654082486696,0.013173929456097773,-0.04072218379586324,-0.0010226622355024913,-0.15891666365029442,-0.00010008365173824684,-0.0005203151943649633
19,1713795736.1655164,-0.45674155782277365,-0.0016162105205590003,0.013173710309357012,-0.04073023694819849,-0.0008594720172933642,-0.15891617545345982,-9.151273228436669e-05,-0.00037974682642098924
20,1713795736.175,-0.4567572084073625,-0.0020233325867463374,0.009353059266042758,-0.04353462812294663,-0.0017062258928792413,-0.17102070772316738,-9.364253235240276e-05,-0.0003892846361643066
21,1713795736.1855054,-0.5233329552375091,-0.0258325419926526,0.009351369010669434,-0.03281290218199785,-0.013739045178832595,-0.17094547184258413,-9.679064597841964e-05,-0.0003892846361643066
22,1713795736.187,-0.5233690414814169,0.00037661397546957104,0.009352621731108983,-0.032836280975279616,-0.0007326086739945972,-0.17094431363120932,-8.484515910981062e-05,-0.00026479097570972313
23,1713795736.2054942,-0.5233642803012593,0.000736181447126699,0.007573294768512852,-0.03330299851550389,-0.0019837278420703707,-0.18475787895296836,-0.00010997092497456669,-0.000466551861215469
24,1713795736.207,-0.5233969884973629,-0.0011472501218669727,0.007573209873611733,-0.03327354948377124,-0.00020264929936407265,-0.18475721845014315,-0.0001010736399912919,-0.0003342837887850127
25,1713795736.2254946,-0.5234028185667381,-0.001238395761638329,0.009931141828388763,-0.034224780019189514,-0.001165286682103325,-0.19936296898158018,-0.0001233135700554376,-0.0005041714488255714
26,1713795736.228,-0.5233638148953923,0.0014738157063683799,0.009931280405833302,-0.03423636747850254,-0.0003761171660901681,-0.19936233247103602,-0.00011370016139369986,-0.000366085416296354
27,1713795736.2454734,-0.5233502818816974,0.0018920110896944167,0.015283617766113965,-0.0352137262481207,-0.0013757427904853628,-0.20943603193216478,-0.00011665021829289713,-0.00037941091554452756
28,1713795736.248,-0.5234595592413689,-0.0024872575959175073,0.015283373177102409,-0.035217509228155586,-0.0011225534517733202,-0.20943548320283767,-0.00010953332117994951,-0.00027651072969806076
29,1713795736.2517097,-0.5234667131169961,-0.002359680243937722,0.022379400590787975,-0.035734049922263054,-0.0019260427369257628,-0.21343206260623884,-0.00013309779986557264,-0.0004580677794594815
