time,x_filter,y_filter,yaw_filter,x_ref,y_ref,yaw_ref
1713795736.2517097,-0.052169570329542,-0.006011208728775295,-0.5907282087319912,-0.007498550402864935,-0.0035466741531755656,-0.03277782873475927
1713795736.2767098,-0.2577531017560447,-0.02970247175625245,-1.2332666530149528,-0.007518420451011028,-0.0035633065382273863,-0.032995959164857286
1713795736.30171,-0.2705477133475186,-0.03117604770987921,-1.6801026588099637,-0.007529003650453261,-0.00356638854824378,-0.033000490238146024
1713795736.32671,-0.2759614368059559,-0.03179895904231344,-1.94826800969297,-0.007521714326911547,-0.003549851313903441,-0.032833442602386256
1713795736.35171,-0.28110143887146594,-0.032390319258544555,-2.101648159144019,-0.007519156836016902,-0.003542743625620793,-0.03282982050375851
1713795736.3767102,-0.28623130487081433,-0.032980509786809935,-2.1880193054894534,-0.007518162597698555,-0.003537315812595124,-0.03285874646668597
1713795736.4017103,-0.2913607522120282,-0.033570650896296586,-2.2364021923432067,-0.0075171683593802064,-0.003531887999569455,-0.032887672429613435
1713795736.4267104,-0.29649028620424017,-0.034160800935511666,-2.263444328639887,-0.007516174121061859,-0.0035264601865437864,-0.032916598392540894
1713795736.4517105,-0.30161977196647627,-0.03475094453914311,-2.2785431946835377,-0.007515179882743511,-0.0035210323735181174,-0.03294552435546835
1713795736.4767106,-0.2988623092005901,-0.03354107227565406,-2.286972775309427,-0.007514185644425164,-0.0035156045604924483,-0.03297445031839582
1713795736.5017107,-0.2941387457018108,-0.03188248755984837,-2.2916726969723484,-0.007513191406106816,-0.0035101767474667793,-0.03300337628132328
1713795736.5267107,-0.28934217231148285,-0.030207228514439965,-2.2942988115497887,-0.007527692435830032,-0.003522057520487351,-0.03282959426873355
1713795736.5517108,-0.2845429397770475,-0.02853136785526784,-2.2957790012257866,-0.007554093037221426,-0.003572566717427423,-0.03254692466248574
1713795736.576711,-0.2797436070519268,-0.026855484220587755,-2.296624591031063,-0.007527830283702885,-0.003570341502643769,-0.03261503576537766
1713795736.601711,-0.2749442706313551,-0.0251795997760737,-2.2971071405448384,-0.007518706682592933,-0.0035124947119853957,-0.032635128777514164
1713795736.6267111,-0.2701449340417159,-0.023503715460032618,-2.2973795538228066,-0.007514349154640971,-0.0036061200510204452,-0.032452993522643296
1713795736.6517112,-0.26534559737418495,-0.02182783141736721,-2.297542806891379,-0.007513611661558149,-0.0036250486426319902,-0.032467054802944414
1713795736.6767113,-0.2592210440194984,-0.021949929992958687,-2.297651631070858,-0.007525808217046241,-0.0035749584661309416,-0.0327172583615959
1713795736.7017114,-0.25276233650672236,-0.022525567017686553,-2.297740786580996,-0.007574671109339123,-0.003550412117111698,-0.032531889657462
1713795736.7267115,-0.24629116963776057,-0.02311803122072592,-2.2978145328248574,-0.00820707750444132,-0.0030341918983807408,-0.02798148942074697
1713795736.7517116,-0.23981954280542334,-0.023711119898106436,-2.297872957479707,-0.008036264981847709,-0.003148952128728524,-0.02917597533740391
1713795736.7767117,-0.23334789872010558,-0.02430423242174569,-2.297928056881773,-0.007646879181508042,-0.0035273485640253486,-0.0317077343208379
1713795736.8017118,-0.22687625377557544,-0.024897346587387566,-2.297981985067094,-0.008014137898264181,-0.0032438739365417022,-0.028851125065227752
1713795736.826712,-0.22040460856066527,-0.02549046163049861,-2.2980417815068415,-0.007559223845614991,-0.0035495655426737165,-0.0322944075265246
1713795736.851712,-0.21393296308166376,-0.026083577572651537,-2.2980980176112,-0.007506370773598701,-0.0035368889940277327,-0.032556027721899874
1713795736.876712,-0.22007154249964514,-0.024805930752840974,-2.298143897342123,-0.0075087362322366485,-0.0035923142873997282,-0.032539718897035975
1713795736.9017122,-0.2301651093247445,-0.022941550946871486,-2.2981830888531563,-0.007598212071693435,-0.0034830916382925675,-0.03200889029168335
1713795736.9267123,-0.24040525996682507,-0.021055429471044138,-2.2982171677326306,-0.008263913093217699,-0.002991674209630123,-0.027961675680658975
1713795736.9517124,-0.2506510454535183,-0.019168466042588407,-2.2982587569862867,-0.007905372384536688,-0.003256290186175999,-0.03029236977281923
1713795736.9767125,-0.2608969346101958,-0.017281491746102298,-2.298310654787088,-0.008148359422440977,-0.0030650111927889006,-0.02790518249586706
1713795737.0017126,-0.2711425751277659,-0.015394519248277143,-2.298379131909277,-0.008180101394232015,-0.0030745390045251388,-0.027622375517358865
1713795737.0267127,-0.2813881313167782,-0.013507564568900557,-2.298447286069536,-0.007511482647020436,-0.0035717427212081103,-0.03248784751976623
1713795737.0517128,-0.2907104467202913,-0.011708318916919081,-2.29850808818116,-0.007545680505125231,-0.003589248151995198,-0.032538638920297264
1713795737.0767128,-0.28904808122489195,-0.01095283769817225,-2.298562804893767,-0.007564847593647841,-0.0035900635822148095,-0.03260066169581068
1713795737.101713,-0.28697832874791784,-0.010236066827630796,-2.2986151524314873,-0.00751572358489521,-0.0035129215043216543,-0.03284995756126873
1713795737.126713,-0.28489347538640936,-0.009520731615747964,-2.2986667617927443,-0.007752629787386992,-0.003357521615113179,-0.030789418815843374
1713795737.1517131,-0.28280799365592924,-0.008805449657911354,-2.298708354310778,-0.007809857991765457,-0.0033562605984897224,-0.030336383826573964
1713795737.1767132,-0.2807205775924384,-0.008090169705718379,-2.2987244153092257,-0.00811172685286493,-0.0030748098785207665,-0.0278979375466075
1713795737.2017133,-0.27862904650491555,-0.0073748830522927435,-2.29849809191565,-0.007540986238715265,-0.0029706691041175787,-0.026609203954599765
1713795737.2267134,-0.27653575438936456,-0.006659610103558507,-2.2979091048994364,-0.004454339106170442,-0.00386811309795593,-0.02912081502092726
1713795737.2517135,-0.27444090079366024,-0.005944330403206911,-2.297544728407346,-0.0011556412853614445,-0.004862500765213013,-0.033319667091802195
1713795737.2767136,-0.2703795827067933,-0.010501024922685225,-2.297754687912232,0.0002650931165910687,-0.00432125740660188,-0.032633629104406245
1713795737.3017137,-0.26617385890963186,-0.015447751246573386,-2.2983364346098205,0.0016705843828292623,-0.003954433317844246,-0.035117212377812665
1713795737.3267138,-0.26196379606038656,-0.02040894295018801,-2.299089474538761,0.0031259685903420736,-0.004190368061581819,-0.03428471847580244
1713795737.351714,-0.25775482516135956,-0.025370671162659127,-2.2997674714984084,0.0048517061798291775,-0.004863776097761545,-0.03580204730227168
1713795737.376714,-0.2535476219832581,-0.03033241934389175,-2.3004012949546615,0.005330796489463294,-0.00465637860229641,-0.03391680102872774
1713795737.401714,-0.24934210676836474,-0.035294168359377674,-2.300905428415081,0.005809886799097411,-0.004448981106831275,-0.032031554755183794
1713795737.4267142,-0.24514098855866048,-0.04025591751023489,-2.3009389566532152,0.006288977108731528,-0.004241583611366141,-0.03014630848163985
1713795737.4517143,-0.24093833785940946,-0.04521761945803751,-2.300557574778334,0.006768067418365645,-0.004034186115901006,-0.0282610622080959
1713795737.4767144,-0.24075246899129168,-0.0466752336770533,-2.2998652970701468,0.007247157727999762,-0.0038267886204358718,-0.026375815934551954
1713795737.5017145,-0.24142643680676737,-0.04737498143435182,-2.2989942743259717,0.011427365647715734,-0.004062055269181362,-0.028363993497194488
1713795737.5267146,-0.24212078027357167,-0.048046623503777725,-2.2984346646869627,0.017635672146800733,-0.004482866376651078,-0.03236461251891586
1713795737.5517147,-0.24280672798929193,-0.04871721698384665,-2.2985175794407637,0.02679871241937185,-0.005167896635499086,-0.035541453332880155
1713795737.5767148,-0.24350029386391914,-0.04938778474833596,-2.299065016163124,0.03708117575757046,-0.006283260333115005,-0.03922544601973463
1713795737.6017148,-0.24419512126291645,-0.05005834482011925,-2.2994377702715174,0.044368283036210224,-0.006316302020225814,-0.03971632437081167
1713795737.626715,-0.244872630495188,-0.0507289049682306,-2.2996283112990707,0.0522719519251833,-0.006198765680326768,-0.03167861287437687
1713795737.651715,-0.2451121597389008,-0.05129750563440001,-2.2998454250255937,0.06153282697742947,-0.006590935652343543,-0.03200425665578392
1713795737.6767151,-0.24091334234781683,-0.05081862656740153,-2.299964273251091,0.07083183769972107,-0.0065569381364787545,-0.030517771168907755
1713795737.7017152,-0.2365814276831671,-0.05030089880207813,-2.2999040823208388,0.08345395535726345,-0.0073027887520896295,-0.03280332058323644
1713795737.7267153,-0.23224242216725904,-0.04978172542213891,-2.2999319161789002,0.0937411289633532,-0.00776234368365354,-0.0332972952446793
1713795737.7517154,-0.22789874222035486,-0.049262508646331686,-2.300036533485723,0.10537140181380883,-0.007737157937661287,-0.033423522802216554
1713795737.7767155,-0.22353922094051576,-0.04874328506398832,-2.3000207040581997,0.11770689424235127,-0.00732428858094564,-0.030334365165158497
1713795737.8017156,-0.21917695590179506,-0.04822406152984256,-2.3000726364994364,0.1318106836840664,-0.008524655071042083,-0.032935069019510266
1713795737.8267157,-0.21482429009269452,-0.04770483811166422,-2.300172613469072,0.14539296269748003,-0.009632836503015179,-0.03351583980928277
1713795737.8517158,-0.21049002598376135,-0.04718561480986663,-2.300180948380806,0.16046879269530726,-0.009604027456816665,-0.030177748258957818
1713795737.876716,-0.19484176593917737,-0.048339809081076726,-2.300260219039218,0.1749158621926876,-0.010277283815974378,-0.0335560558344328
1713795737.901716,-0.1786712486038097,-0.049564697163186844,-2.3004304142821392,0.18743621776332794,-0.010482095190590464,-0.03247638616258433
1713795737.926716,-0.162486393569724,-0.05079220718264338,-2.30055442846676,0.2016588480064114,-0.010761621586897632,-0.03112285985069311
1713795737.9517162,-0.14630516548766206,-0.05201981452592419,-2.300643766365068,0.2187791389078463,-0.01134454646008391,-0.030975095921093678
1713795737.9767163,-0.130134306158657,-0.05324741386527679,-2.300675668582254,0.23348507450749667,-0.011732613671459214,-0.030760041024659963
1713795738.0017164,-0.11396806587338693,-0.05447511768540975,-2.300685758377076,0.2491869564387861,-0.011776830059047755,-0.031102001206354545
1713795738.0267165,-0.09785023649629161,-0.0557028018860285,-2.3007053965037363,0.2636496423584564,-0.012612971210034817,-0.0324086890395915
1713795738.0517166,-0.08087103008845431,-0.05661472947532652,-2.300621261992139,0.275099853578267,-0.012898286530163497,-0.03345828486684212
