,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y
0,1713795736.2517097,-0.3826165189499886,-0.021820906991294898,-2.2324478770841987,-0.0006796737367282709,-9.289853765618382e-05,-0.004058848545660516,0.008781440021824138,-0.02927394873191182
1,1713795736.2717097,-0.45454323034012106,-0.03759211032736248,-2.269180972786239,-4.1635565667848924e-05,-0.00041747121445112015,-0.0030119426073767098,0.016046482431326732,-0.05356755263363111
2,1713795736.2917097,-0.4592157306749231,-0.0387031528521038,-2.2825201462998956,3.4414860617288886e-05,-0.0007712794466047375,-0.0023975386164730252,0.022172608813629622,-0.07397453247909085
3,1713795736.3117096,-0.46313146340759714,-0.03921645622509895,-2.2891196033216397,4.95967798846535e-05,-0.0010577189324405393,-0.0019029803388127507,0.027412030739770672,-0.09132551538009565
4,1713795736.3317096,-0.46703909303117574,-0.03970658975282493,-2.2926934858154833,5.8372405034908285e-05,-0.001280135220568582,-0.001489348951537686,0.03194250239038987,-0.10624803502624904
5,1713795736.3517096,-0.47094818856613213,-0.04019581668377632,-2.29468219966311,6.56614659423439e-05,-0.001458182667388629,-0.001149154846655037,0.03589657260150896,-0.11921202098832655
6,1713795736.3717096,-0.4748590003052378,-0.0406850997215954,-2.295804777413823,7.204360640371092e-05,-0.0016065109809599988,-0.0008763070800871279,0.03937545443099557,-0.13057269105565394
7,1713795736.3917096,-0.47877153075593365,-0.04117448830903755,-2.2964479270381006,7.769605792477179e-05,-0.0017339231314533795,-0.0006621925938477224,0.042457792063827354,-0.14060305685567637
8,1713795736.4117095,-0.48268577235634264,-0.041663986174666885,-2.296822568925313,8.273526552519679e-05,-0.0018455959627074235,-0.0004969462881603299,0.0452056158631903,-0.14951652202339713
9,1713795736.4317095,-0.48660171619653114,-0.04215359200468205,-2.2970419916785416,8.725231051519115e-05,-0.0019447403671862527,-0.0003708759119578173,0.047668504865041234,-0.15748243687392335
10,1713795736.4517095,-0.49051935275938907,-0.04264330265536625,-2.297178291867312,9.132068879702168e-05,-0.00203351474231313,-0.0002758568585285625,0.0498865578857899,-0.1646369768178234
11,1713795736.4717095,-0.48883037427007847,-0.041632127911007656,-2.297272625998421,9.600458217677273e-05,-0.0021133020047181443,-0.00020496810353847492,0.0518925068305709,-0.1710909121078937
12,1713795736.4917097,-0.4855397291811982,-0.0401589971580284,-2.2973394235198197,9.971238830071391e-05,-0.002185546206776057,-0.00015219126179453972,0.05371343319234899,-0.17693529567583086
13,1713795736.5117097,-0.48224189845214954,-0.038675482790709204,-2.297387600851362,0.00010278224530757335,-0.0022512353822815067,-0.00011295766511364397,0.05537188050050013,-0.1822456385955109
14,1713795736.5317094,-0.47894524187507653,-0.037194155542291545,-2.2974344505156385,0.00010555891498219175,-0.0023111194177684938,-8.42875022447908e-05,0.05688675451745871,-0.18708509799841275
15,1713795736.5517094,-0.4756499243961954,-0.035715486322853866,-2.297484365976125,0.00010809919189384387,-0.002365843664036609,-6.34959143881738e-05,0.058274036111919704,-0.19150690660187447
16,1713795736.5717094,-0.4723559599498829,-0.034239497919788524,-2.2975381109671407,0.00011043033642292696,-0.0024159621158230953,-4.8481276496914366e-05,0.059547327189049745,-0.1955562466536265
17,1713795736.5917094,-0.4690633570838083,-0.03276619483714312,-2.29758897211543,0.0001125738925364854,-0.0024619504548713165,-3.741144967219958e-05,0.06071827754357943,-0.19927171584694417
18,1713795736.6117094,-0.46577212412309515,-0.03129558065560313,-2.2976253639629003,0.000114548266504765,-0.0025042184091898113,-2.8754740007965898e-05,0.06179692311127755,-0.20268648517082055
19,1713795736.631709,-0.462482269341337,-0.029827658771595943,-2.2976538317456416,0.00011636938785322486,-0.002543120426144823,-2.212108540149449e-05,0.06279195645762119,-0.20582922158094716
20,1713795736.6517093,-0.45919380097440027,-0.02836243244245339,-2.2976841052379346,0.0001180511228180219,-0.0025789645648062196,-1.7353685115547232e-05,0.06371094482962882,-0.20872482934148526
21,1713795736.6717093,-0.45451480748168,-0.028363319879738533,-2.297718157311405,0.00011985216692095616,-0.002612197869121014,-1.4027007883249754e-05,0.06456049831145316,-0.21139505253036378
22,1713795736.6917093,-0.44945360739079415,-0.028848890109973626,-2.2977568998369695,0.00012137685211765798,-0.00264282614755474,-1.1788040763588288e-05,0.06534643786982898,-0.21385894999424312
23,1713795736.7117093,-0.4443985548470881,-0.029355153197036472,-2.297810569382658,0.00012271171199683515,-0.002671032800565308,-1.0753268839102159e-05,0.06607389875358717,-0.21613332150989953
24,1713795736.7317092,-0.43934619547706333,-0.02986062404723323,-2.297853900258198,0.0001239414012948639,-0.0026970463854574444,-9.583598951174827e-06,0.06674742748907099,-0.21823302904767283
25,1713795736.7517092,-0.434296391419382,-0.030364450399455907,-2.29789363784463,0.00012507910830091744,-0.0027210497567566345,-8.586082228743192e-06,0.06737106682890989,-0.22017126866260076
26,1713795736.7717092,-0.42924915726053675,-0.03086660521881225,-2.2979351948277467,0.00012613190125963683,-0.002743196028423164,-7.931282732325129e-06,0.06794842509248113,-0.2219598020995628
27,1713795736.7917092,-0.4242045144543848,-0.031367094331669586,-2.29797475832873,0.00012710573899681055,-0.0027636182895154583,-7.373583188756193e-06,0.0684827341247323,-0.22360915077533464
28,1713795736.8117092,-0.41916248472165873,-0.03186592503989707,-2.2980211649344953,0.0001280059462532583,-0.0027824345125480703,-7.241183457081658e-06,0.06897689826429974,-0.22512875914931457
