time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795736.1455286,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.1655164,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.1855054,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.2054942,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.2254946,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.2454734,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.2654665,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.2854664,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.3054914,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.3254435,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.3454812,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.365481,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.3855116,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.405471,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.425492,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.4454882,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.4655244,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.4854953,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.505469,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.5254638,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.5454676,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.5655017,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.585474,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.605472,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.6254678,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.6454794,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.6655014,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.685492,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.7054868,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.7254765,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.745459,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.7655127,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.785501,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.8054636,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.8255203,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.8454936,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.8655257,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.8854985,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.9054298,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.925466,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.9454608,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.965516,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795736.9854684,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795737.00549,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795737.0254424,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
1713795737.045791,-6.010800614107297e-06,-6.690690002031375e-11,0.0,0.0,0.0,1.1131112249036427e-05,0.9999999999380492,0.0,0.0,0.0,0.0,0.0,0.0
