,time,roll,pitch,yaw
0,1713795736.1455286,0.0,0.0,2.226222449853258e-05
1,1713795736.1655164,0.0,0.0,2.226222449853258e-05
2,1713795736.1855054,0.0,0.0,2.226222449853258e-05
3,1713795736.2054942,0.0,0.0,2.226222449853258e-05
4,1713795736.2254946,0.0,0.0,2.226222449853258e-05
5,1713795736.2454734,0.0,0.0,2.226222449853258e-05
6,1713795736.2654665,0.0,0.0,2.226222449853258e-05
7,1713795736.2854664,0.0,0.0,2.226222449853258e-05
8,1713795736.3054914,0.0,0.0,2.226222449853258e-05
9,1713795736.3254435,0.0,0.0,2.226222449853258e-05
10,1713795736.3454812,0.0,0.0,2.226222449853258e-05
11,1713795736.365481,0.0,0.0,2.226222449853258e-05
12,1713795736.3855116,0.0,0.0,2.226222449853258e-05
13,1713795736.405471,0.0,0.0,2.226222449853258e-05
14,1713795736.425492,0.0,0.0,2.226222449853258e-05
15,1713795736.4454882,0.0,0.0,2.226222449853258e-05
16,1713795736.4655244,0.0,0.0,2.226222449853258e-05
17,1713795736.485495,0.0,0.0,2.226222449853258e-05
18,1713795736.505469,0.0,0.0,2.226222449853258e-05
19,1713795736.5254638,0.0,0.0,2.226222449853258e-05
20,1713795736.5454676,0.0,0.0,2.226222449853258e-05
21,1713795736.5655017,0.0,0.0,2.226222449853258e-05
22,1713795736.585474,0.0,0.0,2.226222449853258e-05
23,1713795736.605472,0.0,0.0,2.226222449853258e-05
24,1713795736.6254678,0.0,0.0,2.226222449853258e-05
25,1713795736.6454794,0.0,0.0,2.226222449853258e-05
26,1713795736.6655014,0.0,0.0,2.226222449853258e-05
27,1713795736.685492,0.0,0.0,2.226222449853258e-05
28,1713795736.7054868,0.0,0.0,2.226222449853258e-05
29,1713795736.7254765,0.0,0.0,2.226222449853258e-05
30,1713795736.745459,0.0,0.0,2.226222449853258e-05
31,1713795736.7655127,0.0,0.0,2.226222449853258e-05
32,1713795736.785501,0.0,0.0,2.226222449853258e-05
33,1713795736.8054636,0.0,0.0,2.226222449853258e-05
34,1713795736.8255205,0.0,0.0,2.226222449853258e-05
35,1713795736.8454936,0.0,0.0,2.226222449853258e-05
36,1713795736.8655255,0.0,0.0,2.226222449853258e-05
37,1713795736.8854983,0.0,0.0,2.226222449853258e-05
