,time,position_x,position_y
0,1713795736.2517097,-0.2607814487187442,-0.03005252711471928
1,1713795736.4560869,-0.3027151817567746,-0.03487733252390761
2,1713795736.656138,-0.2643107254556667,-0.02146724065268887
3,1713795736.8571281,-0.2122814877767732,-0.02623630377640415
4,1713795737.0497684,-0.2912322914660253,-0.011695907315461695
5,1713795737.252603,-0.2743136411023157,-0.005892858087999974
6,1713795737.455513,-0.24018120330276374,-0.04616453127024183
7,1713795737.6494899,-0.24577324007186782,-0.05136747736405835
8,1713795737.851844,-0.21079347301012027,-0.047165139619874036
9,1713795738.0454404,-0.08569217286526072,-0.056671824869772014
10,1713795738.2480736,0.07465442199810543,-0.05603515230936074
11,1713795738.4506857,0.21090329712570036,-0.03233708235013613
12,1713795738.6441574,0.31576443078330896,0.004044244244876119
13,1713795738.8463764,0.4265751025244222,0.07512073204976194
14,1713795739.0466597,0.5473452338744738,0.0007360573613354643
15,1713795739.2478917,0.7590040951079644,0.04947420262967725
16,1713795739.4401286,0.9304403030374888,0.0003656576042726861
17,1713795739.6434345,0.9760087742965301,0.011627131408216196
18,1713795739.8448448,0.9643371631063499,0.03273436795560716
19,1713795740.0368922,0.954508398294123,0.018540090532251065
20,1713795740.240198,0.8629064334614114,0.04769850442701874
21,1713795740.4416158,0.9160007423912551,0.08728555663146687
22,1713795740.6344965,0.8285920276229196,0.15066057776032488
23,1713795740.8372428,1.2004343642166033,0.04144151571172947
24,1713795741.0384214,1.1981241963152314,0.14910798576527515
25,1713795741.241044,1.2140995885575518,0.109106863045064
26,1713795741.434016,1.2141964997119923,0.09788162060321726
27,1713795741.6362085,1.197287167059395,0.08119361487735795
28,1713795741.8295379,1.1450770728362456,-0.004409630686751666
29,1713795742.0334408,1.15567255523644,-0.21374802629867046
30,1713795742.2352693,1.1769392021881873,-0.4462869264105735
31,1713795742.4275858,1.124129833593398,-0.6494075679429346
32,1713795742.6338952,1.1898023356837102,-0.7440586963876757
33,1713795742.8259003,1.2028978627685274,-0.8019583453813075
34,1713795743.0292995,1.1733439198218858,-0.7446148676135901
35,1713795743.2301161,1.1952537229048872,-0.7665629782553257
36,1713795743.4308417,1.083276092319142,-0.6659971881896303
37,1713795743.624444,0.7857993471851015,-0.5361463460183952
38,1713795743.8264463,0.7201392820342042,-0.49896134657163094
39,1713795744.0272977,0.83527693084146,-0.6055031090013978
40,1713795744.2275681,0.8781099376625379,-0.6871398456685313
41,1713795744.4200733,0.8676246936072011,-0.6905815435709798
42,1713795744.623331,0.9341163623144326,-0.78929144107322
43,1713795744.8249605,0.93911484084814,-0.8031523015094342
44,1713795745.0170183,0.9373847339520636,-0.7989019498854418
45,1713795745.2206786,0.9378105241339927,-0.7313420508761795
46,1713795745.420677,0.9253972719309844,-0.7562493600096488
47,1713795745.622218,0.9114258128570125,-0.7316987740530162
48,1713795745.8142943,1.0103533763875585,-0.8353628055674381
49,1713795746.0169787,1.1303807378285253,-0.8406095924187624
50,1713795746.218114,1.3172617282146897,-0.8613088005067062
51,1713795746.4191597,1.4815466271614028,-0.9241246751218744
52,1713795746.6133492,1.706578852970372,-0.9352379766704283
53,1713795746.8147073,1.8877607723948093,-0.983491984183094
54,1713795747.0151663,2.052533988747763,-1.0194557621900713
55,1713795747.2159517,2.2484804512524237,-1.0422110332484948
56,1713795747.4082189,2.4421127691890234,-1.0525519362366251
57,1713795747.610652,2.6143758325710333,-1.0497874651365242
58,1713795747.8132524,2.776574063709522,-1.0901304234019944
59,1713795748.005712,2.982128249820942,-1.0694319182750613
60,1713795748.2091408,3.1188219205822505,-1.0264887668035712
61,1713795748.4093604,3.292979052675719,-1.0921634059135732
62,1713795748.6106036,3.4172748008510934,-1.071366573760519
63,1713795748.8027267,3.585323641417198,-1.0546110678530003
64,1713795749.0059116,3.7596190143407258,-1.0065931767016851
65,1713795749.2068331,4.0283012423544315,-1.086019328419722
66,1713795749.407044,4.209484290432123,-0.9216480340002638
67,1713795749.5995424,4.360057483238002,-1.0638935290664662
68,1713795749.802318,4.528748598691109,-0.9838879583643458
69,1713795750.0040596,4.693230443648443,-0.9285294055174986
70,1713795750.1967094,4.712091567640752,-0.9370984441396891
71,1713795750.3993113,4.7212652211714365,-0.9371683277058864
72,1713795750.6006172,4.8194588079120795,-0.9038881014718754
73,1713795750.801619,4.925376229898846,-0.9111441289237148
74,1713795750.9933724,5.0072269722992395,-0.8443124153772337
75,1713795751.1969635,5.0605644687671205,-0.9025883751717432
76,1713795751.3977377,5.082489148881283,-0.94784362972113
77,1713795751.5987892,5.118256673232148,-0.897394262723164
78,1713795751.792418,5.1017148117753655,-0.955951147683708
79,1713795751.997565,5.169999690162598,-0.929226729078207
80,1713795752.1931052,5.161024564503995,-0.91336652446863
81,1713795752.3934186,5.14958450033831,-0.9342159954755249
82,1713795752.5949843,5.141777108953209,-1.01162353451086
83,1713795752.7883544,5.201790830092968,-1.15422503112366
84,1713795752.9898605,5.172530563033855,-1.2292192138000604
85,1713795753.1904838,5.231654384799019,-1.3036842408642408
86,1713795753.384063,5.2052366391527425,-1.2904940843067418
87,1713795753.5874977,5.223862755859066,-1.3140127732646474
88,1713795753.7895405,5.233400081800073,-1.3820877469293935
89,1713795753.981827,5.205403699577313,-1.3640016068210747
90,1713795754.1866283,5.2897357529508255,-1.0902858297364757
91,1713795754.3872058,5.2968247575181815,-0.8397226027789938
92,1713795754.5813928,5.387056670170527,-0.6784128118977883
93,1713795754.7844431,5.314376456664908,-0.5596023355300541
94,1713795754.9846332,5.385301696794219,-0.4793118548718005
