t_medio,v_x,v_y,v_z,w
1713795735.6747644,0.0010684332138697465,0.0011455995107407478,2.90253734433717e-05,-0.006629809405469289
1713795735.7219455,-0.0012973094897600517,-0.0001985394143328371,-2.441509718396694e-05,0.01990389207405187
1713795735.7678638,-0.0008747153860884019,-0.0015244717704417927,-2.927121840887313e-05,0.006753901337884543
1713795735.8146043,0.0017481500163104894,0.0024399898601919195,5.365192997924586e-05,-0.023800700563723125
1713795735.8477907,-0.03032314477848676,0.020917185363008614,-0.0003443362868244574,0.22599361454465625
1713795735.8699968,0.0330038916139387,-0.024246783265867957,0.0003763574660215821,-0.23552316974924153
1713795735.8907557,0.001904807108445332,0.000952344970775787,4.149957821539543e-05,-0.00607005639825606
1713795735.9107108,-0.002359054832508317,0.002718785831294909,-1.6253668921618053e-05,0.0046850669723588105
1713795735.92935,-0.004903084941035121,-0.003160234538496147,-0.00011286476936734713,0.018045642420324533
1713795735.9475646,0.005858033478065874,-0.0009030027996822316,9.304207494341199e-05,0.0022818829558669
1713795735.9674034,0.00043548896161289173,-0.003466687389362524,-2.491861269843222e-05,-0.0054353460576844195
1713795735.9885368,-0.000607248004056689,0.003132857185581887,1.92335733175657e-05,-0.004144684965811237
1713795736.0083828,0.048723196082416265,-0.027138256598177122,0.0005879589436130946,0.010392542320183515
1713795736.0307279,-0.061817962686874624,0.03970334191170687,-0.0006022092536841541,0.1774312044184586
1713795736.055863,0.02917678444848152,-0.019858933344128187,0.00034383828752472534,-0.2062187019947536
1713795736.0799448,2.5454815195353133e-05,-0.003490617657675473,-3.079029066486649e-05,-0.00479881685855422
1713795736.1035988,0.00128580100481133,0.0009223506326942126,3.078070235731403e-05,0.003786298579970236
1713795736.1323225,-0.022156003493463486,0.015392347148848361,-0.000244416482380475,0.14309200508573292
1713795736.1595516,0.03408797273426322,-0.02383168469118608,0.0004028693854913714,-0.22979327910420486
1713795736.178741,-0.036093422176639904,0.02541039045711843,-0.0003898350696901978,0.2828990184415036
1713795736.1984131,0.030721046989248452,-0.02678021671891129,0.000294154542375905,-0.2220851186771863
1713795736.2196574,-0.0010863721567854927,0.0015222744083186362,-3.931971725889584e-06,-0.007283511716770897
1713795736.2400718,0.0030967603862320997,0.0041024432474171596,9.221848271772334e-05,-0.019754835883689915
1713795736.2601705,-0.0008353175983754647,-0.0007794767470514449,-2.143719670257879e-05,-0.011122784978852118
1713795736.2822165,-0.0005842664685332072,-0.0004266670208926707,-1.399013415020084e-05,-0.001565375671472056
1713795736.3036866,-4.857041184588488e-05,0.0005114435972525745,3.7050594083358177e-06,0.0029198514165089933
1713795736.321506,0.0005477943613521885,0.000810099345418063,1.6736416837891654e-05,0.009974445411742066
1713795736.4229465,3.258896860505165e-05,0.00021829025756421298,2.53246923018248e-06,-0.001157034103363655
1713795736.5252504,-0.0013940866439811743,-0.0014857517424846905,-3.727954355257491e-05,0.018237971771665272
1713795736.5457816,-0.0008140865358056407,-0.0022987657334818095,-3.4939926869817935e-05,0.008318564321554285
1713795736.5690994,0.0015854597998127792,0.000823775930017832,3.499001761494551e-05,-0.005919593841583819
1713795736.5891871,-0.00021243727227663223,0.00439274768749776,3.666975763313086e-05,-0.0017487173866217612
1713795736.6080604,0.000983781202021157,-0.004348322608801126,-2.177613840150202e-05,0.007981154436955969
1713795736.6294253,-0.001139604067458777,-0.0024587622943623554,-4.241738310695629e-05,0.005830228292186442
1713795736.6488528,0.001459198988771223,0.0012481450539799342,3.702001952454463e-05,-0.008085267804514542
1713795736.668818,-0.0011564010833604583,0.0022080114252345418,6.362325900650649e-07,-0.0105848001347739
