time_sec,time_nanosec,position_front_left_wheel_joint,position_front_right_wheel_joint,position_rear_left_wheel_joint,position_rear_right_wheel_joint,velocity_front_left_wheel_joint,velocity_front_right_wheel_joint,velocity_rear_left_wheel_joint,velocity_rear_right_wheel_joint
1713795737,105476723,-0.00012266940029803663,0.0,-0.00012266940029803663,0.0,0.0,0.0,0.0,0.0
1713795737,125455551,-0.00012266940029803663,0.0,-0.00012266940029803663,0.0,0.0,0.0,0.0,0.0
1713795737,145457602,-0.00012266940029803663,0.0,-0.00012266940029803663,0.0,0.0,0.0,0.0,0.0
1713795737,165476021,0.000613346986938268,0.000981355202384293,0.000613346986938268,0.000981355202384293,0.24521611630916595,0.3678855001926422,0.24521611630916595,0.3678855001926422
1713795737,185500549,0.012144270353019238,0.012021600268781185,0.012144270353019238,0.012021600268781185,0.49055489897727966,0.3678855001926422,0.49055489897727966,0.3678855001926422
1713795737,205481880,0.028581969439983368,0.02919531613588333,0.028581969439983368,0.02919531613588333,0.7358936667442322,0.7358936667442322,0.7358936667442322,0.7358936667442322
1713795737,225458180,0.0440383106470108,0.04342496395111084,0.0440383106470108,0.04342496395111084,0.7358936667442322,0.6133469939231873,0.7358936667442322,0.6133469939231873
1713795737,245465618,0.06194804236292839,0.06158003583550453,0.06194804236292839,0.06158003583550453,0.6133469939231873,0.7358936667442322,0.6133469939231873,0.7358936667442322
1713795737,265475706,0.0785084143280983,0.0787537544965744,0.0785084143280983,0.0787537544965744,0.6133469939231873,0.8585630655288696,0.6133469939231873,0.8585630655288696
1713795737,285379720,0.0785084143280983,0.0787537544965744,0.0785084143280983,0.0787537544965744,0.6133469939231873,0.8585630655288696,0.6133469939231873,0.8585630655288696
1713795737,305424232,0.09531412273645401,0.08819929510354996,0.09531412273645401,0.08819929510354996,0.49055489897727966,0.0,0.49055489897727966,0.0
1713795737,325453170,0.10402364283800125,0.09138869494199753,0.10402364283800125,0.09138869494199753,0.1225467249751091,0.24521611630916595,0.1225467249751091,0.24521611630916595
1713795737,345518956,0.10868508368730545,0.09617280215024948,0.10868508368730545,0.09617280215024948,0.24521611630916595,0.24521611630916595,0.24521611630916595,0.24521611630916595
1713795737,365482504,0.11310118436813354,0.10120224952697754,0.11310118436813354,0.10120224952697754,0.1225467249751091,0.1225467249751091,0.1225467249751091,0.1225467249751091
1713795737,385516404,0.12168803811073303,0.10991177707910538,0.12168803811073303,0.10991177707910538,0.3678855001926422,0.49055489897727966,0.3678855001926422,0.49055489897727966
1713795737,405464582,0.13738971948623657,0.1251227855682373,0.13738971948623657,0.1251227855682373,0.6133469939231873,1.1040245294570923,0.6133469939231873,1.1040245294570923
1713795737,425430823,0.13738971948623657,0.1251227855682373,0.13738971948623657,0.1251227855682373,0.6133469939231873,1.1040245294570923,0.6133469939231873,1.1040245294570923
1713795737,445466026,0.15296873450279236,0.1391070932149887,0.15296873450279236,0.1391070932149887,0.24521611630916595,0.6133469939231873,0.24521611630916595,0.6133469939231873
1713795737,465467748,0.16670770943164825,0.15579013526439667,0.16670770943164825,0.15579013526439667,263430.53125,0.6133469939231873,263430.53125,0.6133469939231873
1713795737,485464956,0.19516700506210327,0.1824093908071518,0.19516700506210327,0.1824093908071518,1.5945794582366943,2.2080490589141846,1.5945794582366943,2.2080490589141846
