time_sec,time_nanosec,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
1713795773,105786842,500,514,155,211
1713795773,309191421,498,525,135,231
1713795773,509456042,513,531,129,250
1713795773,709503194,489,542,115,269
1713795773,909571571,488,536,110,264
1713795774,103530670,487,538,110,264
1713795774,305530322,487,538,112,261
1713795774,505999498,479,538,110,258
1713795774,706631691,524,546,106,265
1713795774,898668463,555,554,100,255
1713795775,103199563,549,555,100,258
1713795775,297813252,529,596,106,258
1713795775,501105178,514,594,98,261
1713795775,701674565,510,587,91,266
1713795775,901609525,512,573,92,265
1713795776,94369091,514,578,90,261
1713795776,297437725,514,577,84,262
1713795776,497764169,509,569,85,263
1713795776,698993389,500,561,96,274
1713795776,890793591,496,551,102,276
1713795777,94214815,478,534,116,284
1713795777,294467490,473,520,126,287
1713795777,495576858,460,511,140,293
1713795777,687623263,443,495,148,310
1713795777,890213291,440,484,165,314
1713795778,91518672,420,476,173,323
1713795778,287545995,406,465,190,326
1713795778,489061890,396,455,207,333
1713795778,689102007,381,448,222,336
1713795778,890028556,366,434,235,348
1713795779,82200852,355,424,254,353
1713795779,285671778,345,417,261,365
1713795779,486005408,329,406,275,375
1713795779,687451074,322,395,285,374
1713795779,879086942,312,385,298,392
1713795780,82132442,306,371,311,402
1713795780,284295851,282,359,329,414
1713795780,476087229,280,352,337,420
1713795780,679093783,265,348,355,431
1713795780,879966149,258,343,360,439
1713795781,74307393,260,338,379,450
1713795781,278554768,189,321,386,460
1713795781,479728989,200,304,406,471
1713795781,671432022,187,304,408,486
1713795781,874764385,170,311,432,502
1713795782,75556362,155,286,442,515
1713795782,276913488,135,282,453,518
1713795782,468677735,124,271,471,533
1713795782,673948639,117,268,482,543
1713795782,874092865,92,264,502,559
1713795783,66394628,93,263,510,569
1713795783,269566429,97,262,514,569
1713795783,471420737,88,270,510,569
1713795783,663626231,80,273,510,572
1713795783,867226446,83,289,512,584
1713795784,68397644,72,284,518,586
1713795784,261748426,74,289,525,589
1713795784,465095392,69,294,526,591
1713795784,667363668,71,297,524,594
