time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1713795735648208298,-7.54707145690918,-3.638620376586914,39.03960418701172,-0.00412865960970521,0.008903318084776402,-0.016397790983319283,0.9998173713684082
1713795735701320189,-7.488337516784668,-3.5796711444854736,39.08450698852539,-0.003960834350436926,0.008943489752709866,-0.01657511480152607,0.9998147487640381
1713795735742570452,-7.5421037673950195,-3.5860788822174072,38.8819694519043,-0.004229980055242777,0.008833582513034344,-0.016162818297743797,0.9998214244842529
1713795735793156714,-7.588846206665039,-3.66172456741333,38.871009826660156,-0.004436086863279343,0.008791777305305004,-0.015990430489182472,0.9998236298561096
1713795735836051898,-7.5105133056640625,-3.5595133304595947,39.08999252319336,-0.0039982576854527,0.008947516791522503,-0.01650390774011612,0.9998157620429993
1713795735859529240,-8.205812454223633,-3.0451414585113525,39.04943084716797,-0.00440572015941143,0.00941502582281828,-0.013845812529325485,0.9998500943183899
1713795735880464051,-7.529210567474365,-3.5717661380767822,39.02192306518555,-0.004119673278182745,0.00883074477314949,-0.016315918415784836,0.9998193979263306
1713795735901046649,-7.489376068115234,-3.5534565448760986,39.00796890258789,-0.0040579913184046745,0.008827467449009418,-0.01637892611324787,0.9998186826705933
1713795735920374814,-7.533221244812012,-3.499437093734741,38.963768005371094,-0.0040258667431771755,0.008844629861414433,-0.016333865001797676,0.9998193979263306
1713795735938324645,-7.623063564300537,-3.553253650665283,38.94834518432617,-0.004198919981718063,0.008868025615811348,-0.0161703173071146,0.999821126461029
1713795735956804018,-7.5153937339782715,-3.573441743850708,38.96019744873047,-0.004250720143318176,0.008820151910185814,-0.01614900678396225,0.999821662902832
1713795735978002553,-7.508556365966797,-3.647191047668457,38.99309158325195,-0.0043102134950459,0.008813812397420406,-0.016206111758947372,0.9998205304145813
1713795735999071392,-7.519190788269043,-3.5808005332946777,38.97046661376953,-0.004207761026918888,0.008830402977764606,-0.01625058241188526,0.9998201131820679
1713795736017694081,-6.628725528717041,-4.115495204925537,38.462379455566406,-0.004687790758907795,0.0083765909075737,-0.016151951625943184,0.9998234510421753
1713795736043761445,-8.205835342407227,-3.0288503170013428,38.959415435791016,-0.004437975585460663,0.009368229657411575,-0.013837162405252457,0.9998505115509033
1713795736067964096,-7.513253688812256,-3.5289299488067627,39.01231002807617,-0.0040427157655358315,0.008851096965372562,-0.016338111832737923,0.9998191595077515
1713795736091925233,-7.515395641326904,-3.612546920776367,39.048458099365234,-0.004150674678385258,0.008894781582057476,-0.016394441947340965,0.999817430973053
1713795736115272109,-7.484676837921143,-3.592010259628296,39.04517364501953,-0.004101831931620836,0.008877054788172245,-0.01635076478123665,0.9998185038566589
1713795736149372568,-8.22263240814209,-3.04262375831604,38.96073532104492,-0.004400671925395727,0.009451535530388355,-0.01390616875141859,0.9998489618301392
1713795736169730273,-7.542452812194824,-3.5469703674316406,38.9081916809082,-0.0041444250382483006,0.008830931037664413,-0.016249889507889748,0.999820351600647
1713795736187751692,-8.177669525146484,-3.068079710006714,38.91403579711914,-0.004575214348733425,0.009302835911512375,-0.013695224188268185,0.9998524785041809
1713795736209074405,-7.538543224334717,-3.6569159030914307,38.88894271850586,-0.004407282453030348,0.00879716221243143,-0.01606641337275505,0.9998224973678589
1713795736230240392,-7.56048583984375,-3.6239700317382812,38.961952209472656,-0.004310423042625189,0.008835121057927608,-0.01614414155483246,0.9998213648796082
1713795736249902890,-7.496995449066162,-3.545315980911255,38.98897171020508,-0.004067274276167154,0.0088441027328372,-0.01634039916098118,0.9998190999031067
1713795736270438134,-7.514668941497803,-3.5607528686523438,39.02058792114258,-0.004022508859634399,0.00892425887286663,-0.016454610973596573,0.9998167157173157
1713795736293994815,-7.528759956359863,-3.5703446865081787,39.02998352050781,-0.004011375363916159,0.00891143549233675,-0.016473200172185898,0.9998165369033813
1713795736313377944,-7.529372215270996,-3.5604052543640137,39.019474029541016,-0.004028209950774908,0.00888444297015667,-0.01644488051533699,0.9998171925544739
1713795736329633895,-7.5200347900390625,-3.547536611557007,39.01664733886719,-0.004078136291354895,0.008856959640979767,-0.016363512724637985,0.9998185634613037
1713795736516258952,-7.512612819671631,-3.5070180892944336,39.01171112060547,-0.003967126365751028,0.008884258568286896,-0.016472307965159416,0.9998169541358948
1713795736534241678,-7.538558483123779,-3.5328946113586426,39.0196533203125,-0.004098160192370415,0.008879982866346836,-0.016307227313518524,0.9998192191123962
1713795736557321059,-7.55908203125,-3.5853075981140137,38.96175765991211,-0.0042070625349879265,0.008841418661177158,-0.01621047779917717,0.9998206496238708
1713795736580877531,-7.521114349365234,-3.5671253204345703,38.92889404296875,-0.004162456374615431,0.00885691773146391,-0.016280503943562508,0.9998195767402649
1713795736597496660,-7.522249698638916,-3.4940433502197266,38.96743392944336,-0.004028518684208393,0.008842742070555687,-0.016296271234750748,0.9998199939727783
1713795736618624025,-7.50448751449585,-3.586545467376709,38.9349365234375,-0.004190557170659304,0.008859936147928238,-0.01621047966182232,0.9998205900192261
1713795736640226386,-7.530830383300781,-3.638833999633789,38.94626235961914,-0.004324083682149649,0.00884199421852827,-0.016146434471011162,0.9998211860656738
1713795736657479262,-7.5049638748168945,-3.6181252002716064,38.95808029174805,-0.00422860961407423,0.008828645572066307,-0.01621706411242485,0.9998205900192261
1713795736680156772,-7.529542446136475,-3.567225217819214,38.976722717285156,-0.004119588062167168,0.008848938159644604,-0.016337916254997253,0.9998188614845276
