t_medio,v_x,v_y,v_z
1713795735.6747644,-0.03247038504806168,0.0005582470476545225,0.027031490699692354
1713795735.7219455,-0.03173729714936465,-0.0009381856656917524,0.030864761955289234
1713795735.7678638,-0.03258614873848015,0.0010684009448312431,0.026480700750267986
1713795735.8146043,-0.030119902012952223,0.0006917912918289401,0.030870828235352137
1713795735.8477907,0.001742050997249077,0.004311449547425848,0.01917914241047599
1713795735.8699968,0.005506996923120681,0.005832787077679716,0.01794538687613985
1713795735.8907557,-0.031947197300106464,-1.451840071524076e-05,0.02662788338888918
1713795735.9107108,-0.030281341652002986,0.0012302477877819099,0.02804391548505816
1713795735.92935,-0.028307939028208655,0.00026473020206453386,0.02586623115705711
1713795735.9475646,-0.028665968611919557,-0.0017453000883990682,0.02543592949984003
1713795735.9674034,-0.03171704018088623,0.0028784116416178743,0.027911762839850755
1713795735.9885368,-0.03186001727045467,0.002575111231012433,0.027405014518939005
1713795736.0083828,0.026785364922014897,-0.0024182993403120863,0.038104076426708496
1713795736.0307279,0.04166563034781363,0.003674794046245808,0.026348377358889986
1713795736.055863,0.0004043880796484878,0.0036652023982347466,0.019927150342130176
1713795736.0799448,-0.031913842511524404,0.003008140426184248,0.0279396290595884
1713795736.1035988,-0.032599790644538225,0.00035768161123817476,0.026298829148245016
1713795736.1323225,-0.007559140312665181,0.0031367360444262866,0.02232590107872255
1713795736.1595516,0.00653737404454038,0.0047886306196678816,0.018835369415518558
1713795736.178741,0.008373045824654188,0.0057548001160136995,0.01611520601564138
1713795736.1984131,0.0048078323126479194,0.009118184529684973,0.018482715804726393
1713795736.2196574,-0.031620235119011686,0.00060511494563128,0.029533439665047193
1713795736.2400718,-0.029116347331226672,0.0019246275918982552,0.0268737734887758
1713795736.2601705,-0.03267340209967509,0.00027190718203991195,0.027771143606196657
1713795736.2822165,-0.03336173551247986,0.0002671577303914603,0.02676361901832316
1713795736.3036866,-0.033734486796709505,0.0006156733379951767,0.027067452791668514
1713795736.321506,-0.03324333705388169,0.0006412943913030038,0.02655153493361428
1713795736.4229465,-0.03401329334476991,0.0004310100883050293,0.026575872831222657
1713795736.5252504,-0.03213142442154297,0.0007331479478147087,0.0265422291951498
1713795736.5457816,-0.031620976914586846,0.0014255702493946656,0.028670802905734243
1713795736.5690994,-0.032085556253451435,-5.897679476470443e-05,0.027410010183813383
1713795736.5891871,-0.03125596170401869,0.003683252259114921,0.02870952239013838
1713795736.6080604,-0.030836606924590827,0.003398760665633646,0.027734876476723673
1713795736.6294253,-0.03179117321712824,0.001674639186919857,0.026676377588680123
1713795736.6488528,-0.03214376404367016,0.00046565628979519864,0.0267605101806919
1713795736.668818,-0.03191461516144275,0.0015475376422613664,0.027002948587883942
1713795736.6905499,-0.03331289541898421,-5.411155374408956e-06,0.026347475484679837
1713795736.7105122,0.00833822219129617,0.0066916657486022595,0.017007157977512864
1713795736.7327185,-0.03258975545115606,0.0017660828008893117,0.02778525736559193
