time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795735826726096,0.0,0.0,0.0,0.0,0.0,0.0
1713795735831908098,0.0,0.0,0.0,0.0,0.0,0.0
1713795735836703594,0.0,0.0,0.0,0.0,0.0,0.0
1713795735846671175,0.0,0.0,0.0,0.0,0.0,0.0
1713795735858813778,0.0,0.0,0.0,0.0,0.0,0.0
1713795735865879072,0.0,0.0,0.0,0.0,0.0,0.0
1713795735878219048,0.0,0.0,0.0,0.0,0.0,0.0
1713795735885673571,0.0,0.0,0.0,0.0,0.0,0.0
1713795735897318340,0.0,0.0,0.0,0.0,0.0,0.0
1713795735906989232,0.0,0.0,0.0,0.0,0.0,0.0
1713795735916626250,0.0,0.0,0.0,0.0,0.0,0.0
1713795735927584820,0.0,0.0,0.0,0.0,0.0,0.0
1713795735938158840,0.0,0.0,0.0,0.0,0.0,0.0
1713795735946359765,0.0,0.0,0.0,0.0,0.0,0.0
1713795735956626550,0.0,0.0,0.0,0.0,0.0,0.0
1713795735966983221,0.0,0.0,0.0,0.0,0.0,0.0
1713795735977231287,0.0,0.0,0.0,0.0,0.0,0.0
1713795735986252578,0.0,0.0,0.0,0.0,0.0,0.0
1713795735998390152,0.0,0.0,0.0,0.0,0.0,0.0
1713795736005516977,0.0,0.0,0.0,0.0,0.0,0.0
1713795736017189402,0.0,0.0,0.0,0.0,0.0,0.0
1713795736025217189,0.0,0.0,0.0,0.0,0.0,0.0
1713795736043556319,0.0,0.0,0.0,0.0,0.0,0.0
1713795736047506935,0.0,0.0,0.0,0.0,0.0,0.0
1713795736064803672,0.0,0.0,0.0,0.0,0.0,0.0
1713795736066091351,0.0,0.0,0.0,0.0,0.0,0.0
1713795736077359670,0.0,0.0,0.0,0.0,0.0,0.0
1713795736088141678,0.0,0.0,0.0,0.0,0.0,0.0
1713795736095709276,0.0,0.0,0.0,0.0,0.0,0.0
1713795736108131875,0.0,0.0,0.0,0.0,0.0,0.0
1713795736119892511,0.0,0.0,0.0,0.0,0.0,0.0
1713795736131069546,0.0,0.0,0.0,0.0,0.0,0.0
1713795736136921403,0.0,0.0,0.0,0.0,0.0,0.0
1713795736148907559,0.0,0.0,0.0,0.0,0.0,0.0
