,time,pos_x,v_x,a_x,pos_y,v_y,a_y,yaw,w
0,1713795735.813,-0.5630864075860076,-0.005839750882731703,-3.874751246970486e-07,0.00046179536573460675,4.7892647706623424e-06,4.618265075839034e-06,0.0,0.0
1,1713795735.836,-0.5631264635040171,-2.9039076925456257e-05,-3.327592623253058e-07,0.0004618348756763472,2.41946873619715e-08,4.617806108220562e-06,0.0,0.0
2,1713795735.849,-0.5631356393321681,-2.933741220200423e-05,0.00018284140096339402,-0.00040753826781240776,-0.0013156017911342653,-0.005320923120910091,-2.6104858256169912e-05,-0.000580268299711327
3,1713795735.869,-0.5631359904662219,-1.2459766825842898e-05,0.0001828415725714407,-0.0004061912995949716,-3.282173842823451e-06,-0.005320768916045749,-2.282534760503023e-05,-0.0003888506562301007
4,1713795735.889,-0.5631434849005083,6.412880426448976e-07,9.797028423215773e-05,-0.0018205768168565778,-0.00039045576401467374,-0.010467950243987681,-6.310268190853347e-05,-0.0008766497130013621
5,1713795735.909,-0.5631438446245648,-1.2586019743881442e-05,9.797009444050134e-05,-0.0018236727292061652,-2.8366704393570103e-06,-0.010467886572352899,-5.319088594112871e-05,-0.0006258924460491183
6,1713795735.932,-0.5631504399782415,2.416029261024997e-05,0.0013038186918823559,-0.0038613121861020235,-0.00040085687852425627,-0.016093401787338396,-6.438065432856231e-05,-0.0007153726893080638
7,1713795735.952,-0.5631535063258141,-8.376379839437515e-05,0.0013038168508141615,-0.0038645314124970335,-9.02261406748265e-06,-0.016093326142799916,-5.405026400347971e-05,-0.0005189424304042699
8,1713795735.972,-0.5631605661335908,-0.00012690857619710664,0.002609623725632723,-0.005762137450279094,-0.00032728774729668607,-0.020486796205861184,-8.514117879933932e-05,-0.0007806403460061376
9,1713795735.993,-0.5631450563989313,0.00033317022475412344,0.002609629827484842,-0.005764653676935452,-4.5053351298211526e-05,-0.020486723837294978,-7.244396220419455e-05,-0.0005687694811296156
10,1713795736.013,-0.5631327050670394,0.0007142527587288069,0.004686320035297022,-0.00805988554821558,-0.00046513914460334736,-0.02518057412182606,-7.062371504238353e-05,-0.0005271392927262247
11,1713795736.035,-0.5631815685359031,-0.00046348541745634393,0.004686300633742617,-0.008064641274681067,-0.0004393588053998723,-0.025180528252118202,-6.049756506994633e-05,-0.00038454259346226184
12,1713795736.047,-0.5632091451155281,-0.0008398847097134531,0.004937339392869033,-0.01081579340599153,-0.001258902235878161,-0.030295383243185984,-8.166411109783999e-05,-0.0005366440002031851
13,1713795736.068,-0.5631679479478567,0.0003715320815622984,0.004937359170247543,-0.010810647995823984,-0.00017665172801411893,-0.030295207589501168,-7.05803552210002e-05,-0.0003916123690972798
14,1713795736.091,-0.5631626018795005,0.0006322048406829592,0.004750926262074819,-0.01370405546286882,-0.0008288524420897855,-0.03530736789519704,-0.00011138861800954195,-0.0006855095363888859
15,1713795736.113,-0.5631815188199766,-0.0003551628989679952,0.004750905080019326,-0.013704954796467397,-0.00020665920689012015,-0.03530724880337506,-9.508663333808137e-05,-0.0005002953354617094
16,1713795736.134,-0.5631946546744935,-0.0007434998705164134,0.004855491813369971,-0.018409347414903507,-0.000813793947164025,-0.043004776979824855,-0.00012776419819108834,-0.0007647877799087408
