time,x,y,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B,yaw,v_x,v_y,w,a_x,a_y
1713795736.2517097,-0.2607814487187442,-0.0300525271147192,6.19,6.140000000000001,1.31,1.89,-2.2969632747174726,0.0,0.0,0.0,0.09271872629415151,-0.3111315275595672
1713795736.2717097,-0.2648850080496373,-0.03052467385249384,6.194892909638133,6.14293574578288,1.3109785819276265,1.891957163855253,-2.297007423397041,0.0,0.0,0.0,0.0923356547600633,-0.3097907759981666
1713795736.2917097,-0.26898856738053045,-0.03099682059026848,6.199785819276266,6.145871491565759,1.3119571638552532,1.893914327710506,-2.2970569935474914,0.0,0.0,0.0,0.09195258322597506,-0.30845002443676606
1713795736.3117096,-0.27309212671142363,-0.03146896732804312,6.204678728914398,6.148807237348639,1.3129357457828796,1.895871491565759,-2.2970913608937638,0.0,0.0,0.0,0.09156951169188683,-0.3071092728753655
1713795736.3317096,-0.27719568604231676,-0.03194111406581777,6.20957163855253,6.151742983131519,1.313914327710506,1.897828655421012,-2.2971426823830416,0.0,0.0,0.0,0.0911864401577986,-0.3057685213139649
1713795736.3517096,-0.2812992453732099,-0.03241326080359241,6.214464548190663,6.154678728914398,1.3148929096381325,1.899785819276265,-2.297176808372521,0.0,0.0,0.0,0.09080336862371037,-0.30442776975256436
1713795736.3717096,-0.28540280470410306,-0.03288540754136705,6.219357457828796,6.157614474697278,1.3158714915657592,1.901742983131518,-2.2972130088272977,0.0,0.0,0.0,0.09042029708962214,-0.3030870181911638
1713795736.3917096,-0.2895063640349962,-0.03335755427914169,6.2242503674669285,6.1605502204801565,1.3168500734933857,1.9037001469867711,-2.297252476782997,0.0,0.0,0.0,0.09003722555553391,-0.3017462666297632
1713795736.4117095,-0.2936099233658893,-0.03382970101691633,6.229143277105061,6.163485966263036,1.3178286554210121,1.905657310842024,-2.2972892545354284,0.0,0.0,0.0,0.08965415402144568,-0.30040551506836266
1713795736.4317095,-0.29771348269678244,-0.03430184775469097,6.234036186743193,6.166421712045916,1.3188072373486386,1.9076144746972772,-2.2973138316204476,0.0,0.0,0.0,0.08927108248735745,-0.2990647635069621
1713795736.4517095,-0.30181704202767556,-0.03477399449246561,6.238929096381326,6.169357457828795,1.3197858192762653,1.90957163855253,-2.2973462922963193,0.0,0.0,0.0,0.08888801095326922,-0.29772401194556153
