,time,x,y,yaw,v_x,v_y,w,a_x,a_y
52,1713795736.468,0.0,0.0,-2.2973822425266546,0.0,0.0,0.0,-0.0197760164737701,-0.3974373936653137
53,1713795736.485495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1713795736.489,0.0,0.0,-2.2974184170466687,0.0,0.0,0.0,0.0472616553306579,-0.4309562444686889
55,1713795736.505469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1713795736.509,0.0,0.0,-2.297440677447784,0.0,0.0,0.0,0.1023282706737518,-0.3734953999519348
57,1713795736.5254638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1713795736.529,0.0,0.0,-2.2974850501377806,0.0,0.0,0.0,0.1406355202198028,-0.2801215052604675
59,1713795736.5454676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1713795736.552,0.0,0.0,-2.2975473858463857,0.0,0.0,0.0,0.1047224700450897,-0.2753331065177917
61,1713795736.5655017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1713795736.572,0.0,0.0,-2.297606350790532,0.0,0.0,0.0,0.0927514731884002,-0.2011128664016723
63,1713795736.585474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1713795736.592,0.0,0.0,-2.2976535861196954,0.0,0.0,0.0,0.0257138311862945,-0.2226606756448745
65,1713795736.605472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1713795736.613,0.0,0.0,-2.297672212103856,0.0,0.0,0.0,-0.0700542330741882,-0.2322374880313873
67,1713795736.6254678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1713795736.636,0.0,0.0,-2.297693576038776,0.0,0.0,0.0,-0.0173818171024322,-0.2777273058891296
69,1713795736.6454794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1713795736.649,0.0,0.0,-2.297717007944926,0.0,0.0,0.0,0.0017718076705932,-0.3687069714069366
71,1713795736.656138,-0.2643107254556667,-0.0214672406526888,0.0,0.0,0.0,0.0,0.0,0.0
72,1713795736.6655014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1713795736.669,0.0,0.0,-2.2977556969393027,0.0,0.0,0.0,-0.0509006381034851,-0.3711012005805969
74,1713795736.685492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1713795736.689,0.0,0.0,-2.297796068678547,0.0,0.0,0.0,0.0017718076705932,-0.4237736463546753
76,1713795736.7054868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1713795736.712,0.0,0.0,-2.297879626355433,0.0,0.0,0.0,-0.0269586145877838,-0.4453214406967163
78,1713795736.7254765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1713795736.732,0.0,0.0,-2.2979092151908245,0.0,0.0,0.0,0.119087666273117,-0.3639185726642608
80,1713795736.745459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1713795736.752,0.0,0.0,-2.2979444878807755,0.0,0.0,0.0,0.1262703239917755,-0.3136403560638428
82,1713795736.7655127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1713795736.773,0.0,0.0,-2.2979906967149817,0.0,0.0,0.0,0.066415250301361,-0.2825157046318054
84,1713795736.785501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1713795736.793,0.0,0.0,-2.29802725666974,0.0,0.0,0.0,0.0712036490440368,-0.2681505084037781
86,1713795736.8054636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1713795736.815,0.0,0.0,-2.2980892804553577,0.0,0.0,0.0,0.1071166694164276,-0.2657563090324402
88,1713795736.8255205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1713795736.827,0.0,0.0,-2.298121185300151,0.0,0.0,0.0,-0.0054107904434204,-0.2274490743875503
90,1713795736.8454936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1713795736.848,0.0,0.0,-2.2981681450330536,0.0,0.0,0.0,-0.0485064387321472,-0.2896983027458191
92,1713795736.857128,-0.2122813993732219,-0.026235947932605,0.0,0.0,0.0,0.0,0.0,0.0
